
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 3118            
  Cones                  : 0               
  Scalar variables       : 653             
  Matrix variables       : 0               
  Integer variables      : 601             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.41
Presolved problem: 652 variables, 1601 constraints, 5818 non-zeros
Presolved problem: 0 general integer, 601 binary, 51 continuous
Clique table size: 50
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   2.1539041689e+02     NA          0.8   
Cut generation started.
402943   399626   244950   25       NA                   2.1626948549e+02     NA          269.6 
404533   401210   245978   52       NA                   2.1627099906e+02     NA          270.8 
406188   402853   247005   65       NA                   2.1627102378e+02     NA          272.1 
407856   404504   248011   27       NA                   2.1627105692e+02     NA          273.2 
409474   406111   249035   41       NA                   2.1627132164e+02     NA          274.5 
411135   407754   250000   60       NA                   2.1627143030e+02     NA          275.5 
412789   409392   250990   26       NA                   2.1627154122e+02     NA          276.6 
414435   411028   251974   56       NA                   2.1627176002e+02     NA          277.8 
416086   412671   252985   62       NA                   2.1627246810e+02     NA          278.9 
417771   414344   253974   65       NA                   2.1627272167e+02     NA          280.0 
419402   415968   254965   45       NA                   2.1627276929e+02     NA          281.0 
421049   417605   256010   27       NA                   2.1627277664e+02     NA          282.0 
422688   419233   256999   48       NA                   2.1627282227e+02     NA          283.0 
424241   420767   257954   30       NA                   2.1627398160e+02     NA          284.1 
425906   422415   258969   83       NA                   2.1627398160e+02     NA          285.1 
427550   424054   259959   66       NA                   2.1627416531e+02     NA          286.0 
429206   425699   260951   28       NA                   2.1627551849e+02     NA          286.9 
430859   427342   261964   64       NA                   2.1627582532e+02     NA          287.8 
432561   429025   262926   34       NA                   2.1627583135e+02     NA          288.7 
434204   430660   263967   45       NA                   2.1627583135e+02     NA          289.8 
435909   432354   264948   28       NA                   2.1627613895e+02     NA          290.8 
437566   433999   265943   42       NA                   2.1627622528e+02     NA          291.8 
439227   435645   266954   29       NA                   2.1627674243e+02     NA          292.7 
440860   437263   267931   33       NA                   2.1627692097e+02     NA          293.6 
442494   438886   268917   37       NA                   2.1627694543e+02     NA          294.6 
444183   440571   269962   55       NA                   2.1627771280e+02     NA          295.8 
445864   442236   270999   20       NA                   2.1627795230e+02     NA          296.7 
447551   443914   271996   50       NA                   2.1627800352e+02     NA          297.7 
449133   445477   272936   40       NA                   2.1627819121e+02     NA          298.6 
450809   447143   273904   29       NA                   2.1627820696e+02     NA          299.6 
452432   448750   274929   56       NA                   2.1627870234e+02     NA          300.6 
454066   450377   275945   22       NA                   2.1627914966e+02     NA          301.9 
455709   452005   276920   56       NA                   2.1627919906e+02     NA          302.9 
457364   453638   277925   78       NA                   2.1627956963e+02     NA          304.0 
458975   455233   278906   70       NA                   2.1627989113e+02     NA          305.1 
460636   456885   279913   45       NA                   2.1628016163e+02     NA          306.2 
462298   458536   280953   73       NA                   2.1628029726e+02     NA          307.4 
463979   460199   281986   43       NA                   2.1628036957e+02     NA          308.4 
465708   461916   283003   72       NA                   2.1628128896e+02     NA          309.6 
467389   463583   283980   34       NA                   2.1628131621e+02     NA          310.9 
469029   465205   284956   50       NA                   2.1628137245e+02     NA          312.2 
470679   466844   285940   70       NA                   2.1628226054e+02     NA          313.3 
472383   468535   286940   18       NA                   2.1628228019e+02     NA          314.5 
473988   470126   287933   62       NA                   2.1628228346e+02     NA          315.9 
475554   471679   288899   50       NA                   2.1628229273e+02     NA          317.0 
477204   473315   289799   68       NA                   2.1628229877e+02     NA          318.1 
478816   474921   290823   64       NA                   2.1628230345e+02     NA          319.3 
480486   476581   291757   34       NA                   2.1628231356e+02     NA          320.4 
482141   478208   292718   62       NA                   2.1628378649e+02     NA          321.6 
483745   479797   293752   62       NA                   2.1628380892e+02     NA          322.7 
485392   481426   294767   42       NA                   2.1628391399e+02     NA          323.9 
487102   483127   295751   48       NA                   2.1628426624e+02     NA          325.1 
488781   484790   296806   40       NA                   2.1628426624e+02     NA          326.2 
490421   486413   297798   53       NA                   2.1628428293e+02     NA          327.2 
492079   488058   298766   71       NA                   2.1628444768e+02     NA          328.3 
493677   489643   299746   67       NA                   2.1628444768e+02     NA          329.3 
495321   491264   300776   72       NA                   2.1628560161e+02     NA          330.3 
496996   492911   301741   74       NA                   2.1628564177e+02     NA          331.5 
498627   494537   302726   48       NA                   2.1628566559e+02     NA          332.5 
500314   496202   303735   21       NA                   2.1628642721e+02     NA          333.4 
501960   497839   304753   27       NA                   2.1628647349e+02     NA          334.4 
503580   499449   305761   43       NA                   2.1628770633e+02     NA          335.5 
505338   501193   306753   30       NA                   2.1628785689e+02     NA          336.4 
507008   502853   307755   33       NA                   2.1628786605e+02     NA          337.4 
